ID,Category,Location Name,Postal Code
D01,University,NUS College of Design & Engineering (Block EA),117575
D02,University,NTU North Spine,639798
D03,CBD Office,Republic Plaza (Raffles Place),48619
D04,CBD / Tech,Marina Bay Financial Centre (MBFC) Tower 1,18981
D05,Business Park,One-North Biopolis (Matrix Building),138671
D06,Business Park,Changi Business Park (Eightrium),486025
D07,Industrial,International Business Park (Jurong East),609916
D08,Industrial,Senoko Food Connection (Woodlands North),757047
D09,Retail / F&B,ION Orchard,238801
D10,Healthcare,Singapore General Hospital (SGH),169608
